id,date,commodity,unit,min,max,avg
246,2026-01-03,घिउ सिमी(राजमा),केजी,140.0,150.0,145.0
247,2026-01-03,घिउ सिमी(लोकल),के.जी.,90.0,100.0,96.0
248,2026-01-03,घिउ सिमी(हाइब्रीड),केजी,80.0,90.0,85.0
249,2026-01-03,घिरौला,के.जी.,90.0,110.0,102.5
250,2026-01-03,चमसूरको साग,के.जी.,60.0,80.0,70.0
251,2026-01-03,चुकुन्दर,के.जी.,70.0,80.0,75.0
252,2026-01-03,च्याउ(कन्य),के.जी.,90.0,120.0,102.5
253,2026-01-03,च्याउ(डल्ले),के जी,350.0,400.0,375.0
254,2026-01-03,छ्यापी सुकेको,के.जी.,180.0,200.0,190.0
255,2026-01-03,छ्यापी हरियो,के.जी.,150.0,180.0,165.0
256,2026-01-03,जिरीको साग,के.जी.,120.0,150.0,135.0
257,2026-01-03,जुनार,के.जी.,100.0,120.0,110.0
258,2026-01-03,टाटे सिमी,के.जी.,70.0,80.0,75.0
259,2026-01-03,तरबुजा(हरियो),के.जी.,90.0,100.0,95.0
260,2026-01-03,तरुल,के.जी.,60.0,70.0,65.0
261,2026-01-03,ताजा माछा(छडी),के जी,230.0,250.0,240.0
262,2026-01-03,ताजा माछा(बचुवा),के जी,260.0,280.0,270.0
263,2026-01-03,ताजा माछा(रहु),के जी,320.0,340.0,330.0
264,2026-01-03,तामा,के.जी.,110.0,120.0,115.0
265,2026-01-03,तितो करेला,के.जी.,100.0,110.0,105.0
266,2026-01-03,तोफु,के.जी.,130.0,150.0,140.0
267,2026-01-03,तोरीको साग,के.जी.,40.0,50.0,45.0
268,2026-01-03,नासपाती(चाइनिज),केजी,200.0,230.0,215.0
269,2026-01-03,निबुवा,के.जी.,60.0,70.0,65.0
270,2026-01-03,परवर(तराई),केजी,145.0,160.0,152.5
271,2026-01-03,पार्सले,के.जी.,600.0,700.0,650.0
272,2026-01-03,पालूगो साग,के.जी.,60.0,80.0,70.0
273,2026-01-03,पिंडालू,के.जी.,70.0,90.0,80.0
274,2026-01-03,पुदीना,के.जी.,200.0,300.0,250.0
275,2026-01-03,प्याज सुकेको (भारतीय),के.जी.,50.0,55.0,52.5
276,2026-01-03,प्याज हरियो,के.जी.,30.0,60.0,42.5
277,2026-01-03,फर्सी पाकेको,के.जी.,30.0,40.0,35.0
278,2026-01-03,फर्सी हरियो(लाम्चो),के.जी.,35.0,40.0,37.5
279,2026-01-03,बकूला,के.जी.,80.0,90.0,83.33
280,2026-01-03,बन्दा(तराई),केजी,25.0,35.0,30.0
281,2026-01-03,बन्दा(नरिवल),केजी,30.0,40.0,34.17
282,2026-01-03,बन्दा(लोकल),के.जी.,35.0,45.0,40.0
283,2026-01-03,बरेला,के.जी.,40.0,70.0,56.67
284,2026-01-03,ब्रोकाउली,के.जी.,80.0,120.0,100.0
285,2026-01-03,भन्टा डल्लो,के.जी.,60.0,70.0,65.0
286,2026-01-03,भन्टा लाम्चो,के.जी.,50.0,60.0,55.0
287,2026-01-03,भिण्डी,के.जी.,100.0,110.0,105.0
288,2026-01-03,भुई कटहर,प्रति गोटा,145.0,155.0,150.0
289,2026-01-03,भेडे खु्र्सानी,के.जी.,90.0,100.0,95.0
290,2026-01-03,मकै बोडी,केजी,50.0,60.0,55.0
291,2026-01-03,मटरकोशा,के.जी.,75.0,100.0,86.67
292,2026-01-03,माछा सुकेको,के.जी.,800.0,1000.0,900.0
293,2026-01-03,मूला रातो,के.जी.,30.0,40.0,35.0
294,2026-01-03,मूला सेतो(लोकल),के.जी.,15.0,20.0,17.6
